Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
115,"Luzhou Type 051C destroyer Name: Shenyang/沈阳, Commisioned:2006, Tons:7100, Fleet:North Sea Fleet",Type 051C destroyer,Luzhou class,115,Shenyang,沈阳,2006,7100,North Sea Fleet,Active
116,"Luzhou Type 051C destroyer Name: Shijiazhuang/石家庄, Commisioned:2007, Tons:7100, Fleet:North Sea Fleet",Type 051C destroyer,Luzhou class,116,Shijiazhuang,石家庄,2007,7100,North Sea Fleet,Active
101,"Renhai Type 055 destroyer Name: Nanchang/南昌, Commisioned:2019, Tons:12000+, Fleet:South Sea Fleet",Type 055 destroyer,Renhai class,101,Nanchang,南昌,2019,12000+,South Sea Fleet,Active
0,"Renhai Type 055 destroyer Name: /, Commisioned:2020 est., Tons:12000+, Fleet:Varies",Type 055 destroyer,Renhai class,,,,2020 est.,12000+,Varies,Sea Trial
0,"Renhai Type 055 destroyer Name: /, Commisioned:2020 est., Tons:12000+, Fleet:Varies",Type 055 destroyer,Renhai class,,,,2020 est.,12000+,Varies,Fitting Out
0,"Renhai Type 055 destroyer Name: /, Commisioned:2020 est., Tons:12000+, Fleet:Varies",Type 055 destroyer,Renhai class,,,,2020 est.,12000+,Varies,Fitting Out
0,"Renhai Type 055 destroyer Name: /, Commisioned:2021 est, Tons:12000+, Fleet:Varies",Type 055 destroyer,Renhai class,,,,2021 est,12000+,Varies,Fitting Out
136,"Sovremenny Type 956 Name: Hangzhou/杭州, Commisioned:1999, Tons:7900, Fleet:East Sea Fleet",Type 956,Sovremenny-class destroyer,136,Hangzhou,杭州,1999,7900,East Sea Fleet,Active
137,"Sovremenny Type 957 Name: Fuzhou/福州, Commisioned:2000, Tons:7900, Fleet:East Sea Fleet",Type 957,Sovremenny-class destroyer,137,Fuzhou,福州,2000,7900,East Sea Fleet,Active
138,"Sovremenny Type 958 Name: Taizhou/泰州, Commisioned:2006, Tons:7900, Fleet:East Sea Fleet",Type 958,Sovremenny-class destroyer,138,Taizhou,泰州,2006,7900,East Sea Fleet,Active
139,"Sovremenny Type 959 Name: Ningbo/宁波, Commisioned:2006, Tons:7900, Fleet:East Sea Fleet",Type 959,Sovremenny-class destroyer,139,Ningbo,宁波,2006,7900,East Sea Fleet,Active
543,"Jianghu Type 053H1 frigate Name: Dandong/丹东, Commisioned:1985, Tons:2000, Fleet:South Sea Fleet",Type 053H1 frigate,Jianghu class,543,Dandong,丹东,1985,2000,South Sea Fleet,Active
